id,tokens
10026151,17367
10026271,21472
10090752,14261
10356324,15881
10373420,10267
10383414,18420
10404228,11868
10467170,11764
10480865,16299
10493802,45373
10529181,10766
10543446,15733
10544015,7036
10555976,150485
10606519,13941
10620337,17383
10625624,14917
10633095,15018
10651645,15386
10653631,19062
10661866,12377
10675537,10256
10681056,9707
10682286,11150
10700397,5380
10724177,7673
10733557,12497
10733892,16160
10736164,16135
10748038,21105
10748213,12391
10766746,20581
10858442,14893
10869170,43794
10879560,11045
10892815,12549
10924141,11987
11054562,13087
11112537,74430
11139615,10414
11264293,76332
11278687,15276
11278832,11587
11294642,18369
11305920,86311
11358525,10598
11399772,14803
11452035,13811
11453462,15270
11479323,8520
11489859,10314
11514561,13829
11533028,14287
11581264,20453
11600501,17347
11683888,12880
11707391,15388
11738943,16524
11744728,13579
11745143,13804
11747447,20066
11749955,11443
11756459,27124
11827467,10257
11827479,15006
11900558,38148
11926813,17160
11955082,22523
12127967,12214
12147492,13026
12147694,14921
12164784,17258
12234497,16170
12370179,16613
12379101,50694
12450807,16330
12533518,76875
12535615,9662
12547821,14056
12603334,12629
12614605,14820
12657645,14396
12670477,8784
12680756,11368
12700257,14459
12724310,83804
12728990,12404
12730374,12815
12732651,11732
12741825,13605
12743680,20093
12756244,17152
12788706,15302
12795596,21088
12820883,10690
12820893,25796
12824170,14577
12859194,17165
12861438,14336
12897246,16802
12944387,12772
12946350,14179
12968028,16978
12970475,13974
14556638,18224
14564415,16307
14612234,8682
14617060,16527
14675446,110163
14744141,16008
15024014,16376
1504089,13873
15056909,17379
15060037,14804
15063208,9913
15063805,6599
15066815,17613
15078101,105727
15096594,15277
15122882,12985
15136574,16214
15138275,60610
15147197,19311
15147840,15739
15148314,16017
15157876,15018
15190053,15597
15218104,11730
15220336,22301
15231835,13053
15258569,18498
15265041,14987
15265863,20593
15271350,14892
15286288,25338
15294295,16908
15294788,13456
15311923,16674
15381407,12542
15452119,13264
15474024,7413
15489502,18311
15501829,72597
15509561,15921
15516568,9985
15516598,5308
15542052,10061
15556630,8814
15564667,36206
15581894,15291
15582992,19750
15595850,17343
15611104,15271
15627387,14321
15683250,18441
15705580,18704
15715982,8813
15743956,13068
15743957,196640
15746356,15477
15746370,8574
15749014,40512
15779887,14430
15784989,14799
15788389,21771
15790557,9271
15797234,114497
15823026,11955
15849257,15731
15850981,10802
15882052,17343
15896363,9694
15921893,16800
15924432,20082
15941278,33331
15954864,16136
15996099,14868
16002467,44098
16010696,16868
16030023,17198
16044463,17101
16045364,11498
16076215,18657
16084099,10483
16086253,7054
16128584,11578
16142895,18106
16183635,16372
16201966,11784
16216582,14670
16218575,4380
16232586,12711
16233615,8851
16243781,15473
16262687,11799
16262710,19148
16282322,24640
16289258,11579
16306697,12532
16315359,11368
16326697,21803
16330030,7964
16336264,14914
16428406,35630
16448191,118927
16452471,20161
16461638,10682
16464851,195746
16484213,10963
16503877,10616
16517082,14157
16531502,24309
16536560,17339
16541109,17179
16584714,73622
16616010,8639
16617161,16325
16625026,13316
16689938,11339
16717414,12085
16731970,16833
16751439,19001
16768442,16655
16781735,15709
16797027,19179
16885288,16044
16896603,12951
16924554,11669
16931521,18152
16963086,18326
16971463,16452
17062572,17211
17063492,12286
17064315,18129
17087520,17381
17090924,9261
17099700,17400
17105207,17782
17158662,16581
17172348,21426
17172354,20324
17172470,69898
17176046,17466
17209568,25210
17220201,22648
17242307,17333
17292360,12154
17307792,13931
17331946,12644
17335096,80912
17337320,16756
17346033,20316
17369439,66579
17401542,17188
17419730,11853
17461583,213999
17466622,19464
17499822,9981
17539640,4387
17559871,19518
17589523,15190
17592850,5657
17601809,17345
17603991,29902
17610898,13511
17624297,13237
17658887,17014
17662687,18555
17678650,53569
17715131,18851
17824959,11941
17943312,9862
17945329,9802
17964482,12229
17998137,61964
18003660,9602
18006499,17683
18028553,14654
18036331,16802
18059261,12451
18089753,12858
18165310,13013
18177021,18221
18199745,21861
18208524,34637
18216016,15328
18243146,15705
18260643,14104
18267944,20880
18275838,43802
18281956,120892
18281958,26324
18284213,13689
18295607,6466
18326559,10931
18329375,13486
18358001,16772
18366186,15512
18373682,11799
18384044,16960
18387946,90681
18391451,17651
18399646,20944
18419134,19700
18422345,25049
18426211,17825
18437267,5623
18455185,14953
18456852,20051
18462755,15759
18487606,13516
18495659,79281
18502761,18284
18502766,15509
18502856,13784
18505728,46185
18540101,87916
18540575,6771
18544530,45951
18548246,12428
18573681,13314
18576672,14120
18582059,38867
18596046,15530
18600559,4103
18620547,36527
18626639,12295
18634748,12108
18635265,10323
18658271,118631
18668122,49220
18668238,14971
18701463,12853
18712420,13074
18723650,10493
18754683,35382
18754693,17726
18758447,10377
18768163,15061
18771288,72966
18775698,8307
18775708,7934
18793849,5856
1879431,17862
18795799,12137
18799660,14042
18804026,55073
18815383,24798
