| Enzyme | Organism | Substrate | Km | Unit_Km | Kcat | Unit_Kcat | Kcat/Km | Unit_Kcat/Km | Commentary[Temp] | Commentary[pH] | Commentary[Mutant] | Commentary[Cosubstrate] |
|---------|----------|-----------|-----|---------|------|-----------|---------|--------------|-------------------|----------------|--------------------|-----------------------|
| ADH_Tt | Thermus thermophilus | 4-Methoxybenzyl alcohol | 61.0 | mM | 1.6 | s^-1 | 0.026 | s^-1mM^-1 | 65°C | 10.5 | Wild type | NAD^+ |
| ADH_Tt | Thermus thermophilus | (S)-(-)-1-Phenylethanol | 18.1 | mM | 1.1 | s^-1 | 0.06 | s^-1mM^-1 | 65°C | 10.5 | Wild type | NAD^+ |
| ADH_Tt | Thermus thermophilus | 3-Methoxybenzaldehyde | 4.40 | mM | 3.1 | s^-1 | 0.70 | s^-1mM^-1 | 65°C | 6.0 | Wild type | NADH |
| ADH_Tt | Thermus thermophilus | Ethyl benzoylformate | 1.0 | mM | 50.1 | s^-1 | 50.1 | s^-1mM^-1 | 65°C | 6.0 | Wild type | NADH |
| ADH_Tt | Thermus thermophilus | Methyl benzoylformate | 2.7 | mM | 38.1 | s^-1 | 14.1 | s^-1mM^-1 | 65°C | 6.0 | Wild type | NADH |
| ADH_Tt | Thermus thermophilus | 2,2,2-Trifluoroacetophenone | 11.2 | mM | 25.5 | s^-1 | 2.3 | s^-1mM^-1 | 65°C | 6.0 | Wild type | NADH |
| ADH_Tt | Thermus thermophilus | 1-Phenyl-1,2-propanedione | 5.90 | mM | 17.1 | s^-1 | 2.9 | s^-1mM^-1 | 65°C | 6.0 | Wild type | NADH |
| ADH_Tt | Thermus thermophilus | 1-Indanone | 27.6 | mM | 8.30 | s^-1 | 0.30 | s^-1mM^-1 | 65°C | 6.0 | Wild type | NADH |
| ADH_Tt | Thermus thermophilus | (±)-1-Indanol | 5.1 | mM | 45.7 | s^-1 | 8.9 | s^-1mM^-1 | 65°C | 10.5 | Wild type | NAD^+ |
| ADH_Tt | Thermus thermophilus | (S)-(+)-1-Indanol | 4.2 | mM | 61.4 | s^-1 | 14.6 | s^-1mM^-1 | 65°C | 10.5 | Wild type | NAD^+ |
| ADH_Tt | Thermus thermophilus | α-Tetralone | 5.8 | mM | 7.70 | s^-1 | 1.3 | s^-1mM^-1 | 65°C | 6.0 | Wild type | NADH |
| ADH_Tt | Thermus thermophilus | (±)-α-Tetralol | 5.3 | mM | 48.1 | s^-1 | 9.1 | s^-1mM^-1 | 65°C | 10.5 | Wild type | NAD^+ |
| ADH_Tt | Thermus thermophilus | (S)-(+)-α-Tetralol | 4.2 | mM | 57.0 | s^-1 | 13.6 | s^-1mM^-1 | 65°C | 10.5 | Wild type | NAD^+ |
| ADH_Tt | Thermus thermophilus | NAD^+ | 0.24 | mM | 0.84 | s^-1 | 3.50 | s^-1mM^-1 | 65°C | 10.5 | Wild type | (S)-(-)-1-Phenylethanol |
| ADH_Tt | Thermus thermophilus | NADH | 0.035 | mM | 52.4 | s^-1 | 1490 | s^-1mM^-1 | 65°C | 6.0 | Wild type | Ethyl benzoylformate |
